"VA-VG,VO,VY#*       "	Canada                             	NA	(H)	01-05	001
"YA,T6               "	Afghanistan                        	AS	40	21	003
"3B6,7               "	Agalega & St. Brandon Is.          	AF	53	39	004
OH0*                	Aland Is.                          	EU	18	15	005
"KL,AL,NL,WL#*       "	Alaska                             	NA	"01,02"	01	006
ZA                  	Albania                            	EU	28	15	007
KH8#*               	American Samoa                     	OC	62	32	009
FT/Z*               	Amsterdam & St. Paul Is.           	AF	68	39	010
VU4*                	Andaman & Nicobar Is.              	AS	49	26	011
VP2E(37)            	Anguilla                           	NA	11	08	012
CE9/KC4^*           	Antarctica                         	AN	(B)	(C)	013
EK*                 	Armenia                            	AS	29	21	014
"UA-UI8-0,RA-RZ*     "	Asiatic Russia                     	AS	(F)	(G)	015
ZL9*                	New Zealand Subantarctic Islands   	OC	60	32	016
YV0#*               	Aves I.                            	NA	11	08	017
"4J,4K               "	Azerbaijan                         	AS	29	21	018
KH1#                	Baker & Howland Is.                	OC	61	31	020
EA6-EH6*            	Balearic Is.                       	EU	37	14	021
"T8,(21)             "	Palau                              	OC	64	27	022
3Y*                 	Bouvet                             	AF	67	38	024
EU-EW*              	Belarus                            	EU	29	16	027
EA8-EH8*            	Canary Is.                         	AF	36	33	029
T31                 	C. Kiribati (British Phoenix Is.)  	OC	62	31	031
EA9-EH9*            	Ceuta & Melilla                    	AF	37	33	032
VQ9*                	Chagos Is.                         	AF	41	39	033
ZL7*                	Chatham Is.                        	OC	60	32	034
VK9X#*              	Christmas I.                       	OC	54	29	035
"FO,TX*              "	Clipperton I.                      	NA	10	07	036
TI9#*               	Cocos I.                           	NA	12	07	037
VK9C#*              	Cocos (Keeling) Is.                	OC	54	29	038
"SV9,J49*            "	Crete                              	EU	28	20	040
FT/W*               	Crozet I.                          	AF	68	39	041
KP5(22)#            	Desecheo I.                        	NA	11	08	043
"SV5,J45*            "	Dodecanese                         	EU	28	20	045
"9M6,8(8)*           "	East Malaysia                      	OC	54	28	046
CE0#*               	Easter I.                          	SA	63	12	047
T32                 	E. Kiribati (Line Is.)             	OC	"61,63"	31	048
3C                  	Equatorial Guinea                  	AF	47	36	049
XA-XI#*             	Mexico                             	NA	10	06	050
E3(15)              	Eritrea                            	AF	48	37	051
ES*                 	Estonia                            	EU	29	15	052
ET*                 	Ethiopia                           	AF	48	37	053
"UA-UI1-7,RA-RZ*     "	European Russia                    	EU	(E)	16	054
PP0-PY0F#*          	Fernando de Noronha                	SA	13	11	056
C6                  	Bahamas                            	NA	11	08	060
R1/F*               	Franz Josef Land                   	EU	75	40	061
8P*                 	Barbados                           	NA	11	08	062
FY*                 	French Guiana                      	SA	12	09	063
VP9*                	Bermuda                            	NA	11	05	064
VP2V(37)*           	British Virgin Is.                 	NA	11	08	065
V3#                 	Belize                             	NA	11	07	066
ZF*                 	Cayman Is.                         	NA	11	08	069
"CM,CO#*             "	Cuba                               	NA	11	08	070
"HC8,HD8#*           "	Galapagos Is.                      	SA	12	10	071
HI#*                	Dominican Republic                 	NA	11	08	072
"YS,HU#*             "	El Salvador                        	NA	11	07	074
4L*                 	Georgia                            	AS	29	21	075
"TG,TD#*             "	Guatemala                          	NA	12	07	076
J3#*                	Grenada                            	NA	11	08	077
HH#                 	Haiti                              	NA	11	08	078
"FG,TO*              "	Guadeloupe                         	NA	11	08	079
"HQ,HR#*             "	Honduras                           	NA	11	07	080
6Y#*                	Jamaica                            	NA	11	08	082
"FM,TO*              "	Martinique                         	NA	11	08	084
"YN,H6-7,HT#*        "	Nicaragua                          	NA	11	07	086
"HO,HP#*             "	Panama                             	NA	11	07	088
VP5*                	Turks & Caicos Is.                 	NA	11	08	089
"9Y,9Z#*             "	Trinidad & Tobago                  	SA	11	09	090
P4(25)*             	Aruba                              	SA	11	09	091
V2#*                	Antigua & Barbuda                  	NA	11	08	094
J7#*                	Dominica                           	NA	11	08	095
VP2M(37)            	Montserrat                         	NA	11	08	096
J6#*                	St. Lucia                          	NA	11	08	097
J8#                 	St. Vincent                        	NA	11	08	098
"FT/G,TO(17)*        "	Glorioso Is.                       	AF	53	39	099
LO-LW#*             	Argentina                          	SA	"14,16"	13	100
KH2#*               	Guam                               	OC	64	27	103
CP#*                	Bolivia                            	SA	"12,14"	10	104
KG4#                	Guantanamo Bay                     	NA	11	08	105
"GU,GP*              "	Guernsey                           	EU	27	14	106
3X                  	Guinea                             	AF	46	35	107
"PP-PY,ZV-ZZ#*       "	Brazil                             	SA	(D)	11	108
J5                  	Guinea-Bissau                      	AF	46	35	109
"KH6,7#*             "	Hawaii                             	OC	61	31	110
VK0#*               	Heard I.                           	AF	68	39	111
CA-CE#*             	Chile                              	SA	"14,16"	12	112
"GD,GT*              "	Isle of Man                        	EU	27	14	114
"HJ,HK,5J,5K#*       "	Colombia                           	SA	12	09	116
4U_ITU#*            	ITU HQ                             	EU	28	14	117
JX*                 	Jan Mayen                          	EU	18	40	118
"HC,HD#*             "	Ecuador                            	SA	12	10	120
"GJ,GH*              "	Jersey                             	EU	27	14	122
KH3#*               	Johnston I.                        	OC	61	31	123
"FT/J,E,TO(17)*      "	"Juan de Nova, Europa               "	AF	53	39	124
CE0#*               	Juan Fernandez Is.                 	SA	14	12	125
"UA2,RA2*            "	Kaliningrad                        	EU	29	15	126
8R#*                	Guyana                             	SA	12	09	129
UN-UQ*              	Kazakhstan                         	AS	29-31	17	130
FT/X*               	Kerguelen Is.                      	AF	68	39	131
ZP#*                	Paraguay                           	SA	14	11	132
ZL8*                	Kermadec Is.                       	OC	60	32	133
EX*                 	Kyrgyzstan                         	AS	"30,31"	17	135
OA-OC#*             	Peru                               	SA	12	10	136
"HL,6K-6N*           "	Republic of Korea                  	AS	44	25	137
KH7K#               	Kure I.                            	OC	61	31	138
PZ                  	Suriname                           	SA	12	09	140
VP8*                	Falkland Is.                       	SA	16	13	141
VU7*                	Lakshadweep Is.                    	AS	41	22	142
XW                  	Laos                               	AS	49	26	143
CV-CX#*             	Uruguay                            	SA	14	13	144
YL*                 	Latvia                             	EU	29	15	145
LY*                 	Lithuania                          	EU	29	15	146
VK9L#*              	Lord Howe I.                       	OC	60	30	147
"YV-YY,4M#*          "	Venezuela                          	SA	12	09	148
CU*                 	Azores                             	EU	36	14	149
"VK,AX#*             "	Australia                          	OC	(I)	"29,30"	150
XX9*                	Macao                              	AS	44	24	152
VK0#*               	Macquarie I.                       	OC	60	30	153
C2                  	Nauru                              	OC	65	31	157
YJ*                 	Vanuatu                            	OC	56	32	158
8Q                  	Maldives                           	"AS,AF"	41	22	159
A3                  	Tonga                              	OC	62	32	160
HK0#*               	Malpelo I.                         	SA	12	09	161
"FK,TX*              "	New Caledonia                      	OC	56	32	162
P2(24)              	Papua New Guinea                   	OC	51	28	163
3B8                 	Mauritius                          	AF	53	39	165
KH0#                	Mariana Is.                        	OC	64	27	166
OJ0*                	Market Reef                        	EU	18	15	167
V7#*                	Marshall Is.                       	OC	65	31	168
"FH,TO(13)*          "	Mayotte                            	AF	53	39	169
ZL-ZM*              	New Zealand                        	OC	60	32	170
VK9M#*              	Mellish Reef                       	OC	56	30	171
VP6#*               	Pitcairn I.                        	OC	63	32	172
V6(38)              	Micronesia                         	OC	65	27	173
KH4#                	Midway I.                          	OC	61	31	174
"FO,TX*              "	French Polynesia                   	OC	63	32	175
3D2*                	Fiji                               	OC	56	32	176
JD1(19)*            	Minami Torishima                   	OC	90	27	177
ER*                 	Moldova                            	EU	29	16	179
SV/A*               	Mount Athos                        	EU	28	20	180
"C8,C9*              "	Mozambique                         	AF	53	37	181
KP1#                	Navassa I.                         	NA	11	08	182
H4*                 	Solomon Is.                        	OC	51	28	185
5U(3)               	Niger                              	AF	46	35	187
E6*                 	Niue                               	OC	62	32	188
VK9N*               	Norfolk I.                         	OC	60	32	189
5W*                 	Samoa                              	OC	62	32	190
E5                  	North Cook Is.                     	OC	62	32	191
JD1(20)*            	Ogasawara                          	AS	45	27	192
3C0                 	Annobon I.                         	AF	52	36	195
KH5#                	Palmyra & Jarvis Is.               	OC	"61,62"	31	197
3Y*                 	Peter 1 I.                         	AN	72	12	199
ZS8*                	Prince Edward & Marion Is.         	AF	57	38	201
"KP3,4#*             "	Puerto Rico                        	NA	11	08	202
C3*                 	Andorra                            	EU	27	14	203
XA4-XI4#*           	Revillagigedo                      	NA	10	06	204
ZD8*                	Ascension I.                       	AF	66	36	205
OE#*                	Austria                            	EU	28	15	206
3B9                 	Rodrigues I.                       	AF	53	39	207
ON-OT*              	Belgium                            	EU	27	14	209
CY0*                	Sable I.                           	NA	09	05	211
LZ*                 	Bulgaria                           	EU	28	20	212
"FS,TO*              "	Saint Martin                       	NA	11	08	213
TK*                 	Corsica                            	EU	28	15	214
"5B,C4,P3*           "	Cyprus                             	AS	39	20	215
